full_name,first_name,last_name,company_name,role,role_description,e1,e2,e3,e4,s1,s2,s3,s4,p1,p2,p3,p4
Shawn Smith,Shawn,Smith,1 True Health,Chief Executive Officer,"Shawn D. Smith is a Senior-level Executive with over 35 years of experience in executive management, operations, sales/marketing, and business development, with a strong record of accomplishments in the healthcare, emergency response, humanitarian aid, and information technology industries. Shawn has worked with healthcare and health & wellness organizations to provide unique and valuable technology and service so...","{{first_name}},

{{personalization_line}}

Reaching out because quiet record drift can sit in the background until it starts pulling time from leadership, patient trust, and board-level review.

We watch the file paths that matter and send a signal when something changes, so the team can review it before it becomes a larger leadership issue.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The gap tends to stay hidden until someone has to explain what changed, how it moved, and why the team saw it late.

We keep a tighter watch on those paths, which gives the team cleaner footing during review.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

A practical first pass is the path set behind record exports, shared folders, and reporting files.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{compliance risk|quiet control gap|record trust gap|audit readiness gap},{board review risk|patient trust gap|record change risk|control evidence gap},{quiet audit gap|record oversight gap|leadership review gap|care continuity risk},{file security risk|record drift risk|audit trail gap|control trail gap},Saw 1 True Health operating 10 clinic locations plus 2 mobile units; that usually raises the odds of quiet record drift landing on leadership late.,The pain point around multi-site record oversight and ephi integrity visibility is usually where patient trust and oversight time start getting pulled in.,"Running primary care, dental, behavioral health, and pediatrics across multiple sites usually leaves more record paths that leadership only hears about when something drifts.","Between operating 10 clinic locations plus 2 mobile units and multi-site record oversight and ephi integrity visibility, I can see why trail visibility would matter at this stage."
Samantha Staples,Samantha,Staples,A Community Network,Chief Operating Officer,"I have 15 years of healthcare experience, from a front office receptionist all the way up to senior leadership","{{first_name}},

{{personalization_line}}

Reaching out because quiet file changes rarely stay quiet for ops. They turn into rerun reports, cross-site cleanup, and staff time spent tracing what moved.

We watch the file paths that matter and send a signal when something shifts, so clinic teams spend less time chasing the source.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The drag is rarely the first change itself. It is the clinic-by-clinic cleanup once nobody is sure what moved or when it changed.

We keep a steady watch on the paths behind reports and shared record flow, which cuts down the hunt.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

One practical starting point is the path set behind reports, exports, and shared folders across sites.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{file security risk|clinic workflow drag|site workflow risk|record drift risk},{quiet reporting drag|cross site drag|shared file drift|ops review gap},{record rework risk|site audit drag|workflow review gap|clinic path drift},{multi site drift|record flow drag|site control gap|path review gap},"Saw signals like Multiple service lines indicate complex operational environment at A Community Network; for ops, that usually means more cross-site cleanup when a record path drifts.",The pain point around ephi integrity visibility and lean team coverage usually turns into staff time spent tracing what changed where.,"Running dental, behavioral health, and pediatrics usually creates more handoffs and more report paths to keep straight.","With multiple service lines indicate complex operational environment already in the mix, a small path issue can turn into a clinic-by-clinic chase fast."
Robert Portillo,Robert,Portillo,Aaron E. Henry Community Health Services Center,Director Of Facilities Management,Experienced Director of Facilities Manager with a demonstrated history of working in the Medical Practice industry for over 10 years along with experience as a Financial Services Specialist at a Corporate Financial Institution (Regions Bank),"{{first_name}},

{{personalization_line}}

Reaching out because quiet record drift can sit in the background until it starts pulling time from leadership, patient trust, and board-level review.

We watch the file paths that matter and send a signal when something changes, so the team can review it before it becomes a larger leadership issue.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The gap tends to stay hidden until someone has to explain what changed, how it moved, and why the team saw it late.

We keep a tighter watch on those paths, which gives the team cleaner footing during review.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

A practical first pass is the path set behind record exports, shared folders, and reporting files.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{compliance risk|quiet control gap|record trust gap|audit readiness gap},{board review risk|patient trust gap|record change risk|control evidence gap},{quiet audit gap|record oversight gap|leadership review gap|care continuity risk},{file security risk|record drift risk|audit trail gap|control trail gap},Saw signals like 44-200 employees across locations at Aaron E. Henry Community Health Services Center; that usually raises the odds of quiet record drift landing on leadership late.,The pain point around multi-site record oversight and ephi integrity visibility is usually where patient trust and oversight time start getting pulled in.,"Running dental, behavioral health, and optometry across multiple sites usually leaves more record paths that leadership only hears about when something drifts.","Between 44-200 employees across locations and multi-site record oversight and ephi integrity visibility, I can see why trail visibility would matter at this stage."
Christopher Barrett,Christopher,Barrett,Achievable Health,Chief Operations Officer,"As a small FQHC serving complex medically vulnerable populations, Achievable Health likely faces compliance and operational challenges around HIPAA security, ePHI data integrity across multiple systems, and coordinating care across fragmented EHR platforms while managing limited IT resources for compliance monitoring.","{{first_name}},

{{personalization_line}}

Reaching out because quiet record drift can sit in the background until it starts pulling time from leadership, patient trust, and board-level review.

We watch the file paths that matter and send a signal when something changes, so the team can review it before it becomes a larger leadership issue.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The gap tends to stay hidden until someone has to explain what changed, how it moved, and why the team saw it late.

We keep a tighter watch on those paths, which gives the team cleaner footing during review.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

A practical first pass is the path set behind record exports, shared folders, and reporting files.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{compliance risk|quiet control gap|record trust gap|audit readiness gap},{board review risk|patient trust gap|record change risk|control evidence gap},{quiet audit gap|record oversight gap|leadership review gap|care continuity risk},{file security risk|record drift risk|audit trail gap|control trail gap},Saw signals like Nonprofit FQHC serving vulnerable populations since 2013 at Achievable Health; that usually raises the odds of quiet record drift landing on leadership late.,The pain point around ephi integrity visibility and lean team coverage is usually where patient trust and oversight time start getting pulled in.,"Running primary care, behavioral health, and specialty care across a distributed clinic footprint usually leaves more record paths that leadership only hears about when something drifts.","Between nonprofit fqhc serving vulnerable populations since 2013 and ephi integrity visibility and lean team coverage, I can see why trail visibility would matter at this stage."
Mary Mulqueen,Mary,Mulqueen,Advantage Care Health Centers,Chief Medical Officer,Chief Medical Officer of Federally Qualified Health Center,"{{first_name}},

{{personalization_line}}

Reaching out because quiet file changes rarely stay quiet for ops. They turn into rerun reports, cross-site cleanup, and staff time spent tracing what moved.

We watch the file paths that matter and send a signal when something shifts, so clinic teams spend less time chasing the source.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The drag is rarely the first change itself. It is the clinic-by-clinic cleanup once nobody is sure what moved or when it changed.

We keep a steady watch on the paths behind reports and shared record flow, which cuts down the hunt.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

One practical starting point is the path set behind reports, exports, and shared folders across sites.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{file security risk|clinic workflow drag|site workflow risk|record drift risk},{quiet reporting drag|cross site drag|shared file drift|ops review gap},{record rework risk|site audit drag|workflow review gap|clinic path drift},{multi site drift|record flow drag|site control gap|path review gap},"Saw signals like Multi-location operations at Advantage Care Health Centers; for ops, that usually means more cross-site cleanup when a record path drifts.",The pain point around multi-site record oversight and ephi integrity visibility usually turns into staff time spent tracing what changed where.,"Running primary care, dental, and behavioral health across multiple sites usually creates more handoffs and more report paths to keep straight.","With multi-location operations already in the mix, a small path issue can turn into a clinic-by-clinic chase fast."
Mary Fullam,Mary,Fullam,Advantage Care Health Centers,Clinical Nurse Manager,"I am a hard working, dedicated employee who takes my responsibilities seriously and give 100% of myself","{{first_name}},

{{personalization_line}}

Reaching out because quiet record drift can sit in the background until it starts pulling time from leadership, patient trust, and board-level review.

We watch the file paths that matter and send a signal when something changes, so the team can review it before it becomes a larger leadership issue.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The gap tends to stay hidden until someone has to explain what changed, how it moved, and why the team saw it late.

We keep a tighter watch on those paths, which gives the team cleaner footing during review.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

A practical first pass is the path set behind record exports, shared folders, and reporting files.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{compliance risk|quiet control gap|record trust gap|audit readiness gap},{board review risk|patient trust gap|record change risk|control evidence gap},{quiet audit gap|record oversight gap|leadership review gap|care continuity risk},{file security risk|record drift risk|audit trail gap|control trail gap},Saw Advantage Care Health Centers active patient portal; that usually raises the odds of quiet record drift landing on leadership late.,The pain point around multi-site record oversight and ephi integrity visibility is usually where patient trust and oversight time start getting pulled in.,"Running primary care, dental, and behavioral health across multiple sites usually leaves more record paths that leadership only hears about when something drifts.","Between active patient portal and multi-site record oversight and ephi integrity visibility, I can see why trail visibility would matter at this stage."
Darci Weissbrot,Darci,Weissbrot,Advantage Care Health Centers,Director Operations/Compliance,"As an FQHC handling ePHI across multiple service lines (medical, dental, behavioral health), they face HIPAA compliance burden and need file integrity monitoring to protect patient data. Active hiring for Director of Healthcare Risk Management & Quality Assurance suggests focus on compliance and risk management. Multi-site operations (Brookville location mentioned) create distributed data protection challenges.","{{first_name}},

{{personalization_line}}

Reaching out because quiet record drift usually shows up first as a weak trail, thin support for review packets, and more time spent proving what changed.

We watch the file paths that matter and send a signal when something changes, which gives your team a cleaner record trail to work from.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The gap tends to stay hidden until someone has to show what changed, when it moved, and how the team saw it.

We keep that trail tighter, which makes review packets less painful to assemble.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

A practical starting point is the file set behind record exports, shared folders, and reporting paths.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{audit trail gap|control evidence gap|record evidence gap|quiet review gap},{compliance risk|record review risk|control trail gap|integrity review gap},{evidence trail risk|review packet gap|quiet control gap|record trail risk},{file security risk|audit load risk|review drag risk|control proof gap},Saw signals like Multi-location operations at Advantage Care Health Centers; that usually leaves more review pressure on the trail behind each file change.,The pain point around multi-site record oversight and ephi integrity visibility is usually where review packets start getting harder to defend.,"Running primary care, dental, and behavioral health across multiple sites usually leaves more record surfaces that need a clean review trail.","With multi-location operations already in play, a thin trail can become a review issue faster than teams expect."
Jenny Poon,Jenny,Poon,Advantage Care Health Centers,Senior Human Resources Generalist,"Human Resources and Recruitment Professional with over 15 years of experience in full life cycle recruitment, talent management, and HR initiatives, coupled with a successful stint as an E-commerce Founder, demonstrating expertise in strategic sourcing, operational management, and customer-centric approaches","{{first_name}},

{{personalization_line}}

Reaching out because quiet file changes rarely stay quiet for ops. They turn into rerun reports, cross-site cleanup, and staff time spent tracing what moved.

We watch the file paths that matter and send a signal when something shifts, so clinic teams spend less time chasing the source.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The drag is rarely the first change itself. It is the clinic-by-clinic cleanup once nobody is sure what moved or when it changed.

We keep a steady watch on the paths behind reports and shared record flow, which cuts down the hunt.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

One practical starting point is the path set behind reports, exports, and shared folders across sites.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{file security risk|clinic workflow drag|site workflow risk|record drift risk},{quiet reporting drag|cross site drag|shared file drift|ops review gap},{record rework risk|site audit drag|workflow review gap|clinic path drift},{multi site drift|record flow drag|site control gap|path review gap},"Saw signals like Multi-location operations at Advantage Care Health Centers; for ops, that usually means more cross-site cleanup when a record path drifts.",The pain point around multi-site record oversight and ephi integrity visibility usually turns into staff time spent tracing what changed where.,"Running primary care, dental, and behavioral health across multiple sites usually creates more handoffs and more report paths to keep straight.","With multi-location operations already in the mix, a small path issue can turn into a clinic-by-clinic chase fast."
Angela Albero,Angela,Albero,Affinity Health Center,Chief Medical Officer,"Multi-site FQHC operations with HIPAA-regulated ePHI across dispersed locations (Rock Hill, Clover, York); recent expansion to new facility increases IT infrastructure complexity; sensitive patient data (HIV status, mental health records, hepatitis C treatment data) requires robust integrity monitoring and compliance controls; likely operational bottlenecks in maintaining consistent security policies across sites...","{{first_name}},

{{personalization_line}}

Reaching out because quiet file changes rarely stay quiet for ops. They turn into rerun reports, cross-site cleanup, and staff time spent tracing what moved.

We watch the file paths that matter and send a signal when something shifts, so clinic teams spend less time chasing the source.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The drag is rarely the first change itself. It is the clinic-by-clinic cleanup once nobody is sure what moved or when it changed.

We keep a steady watch on the paths behind reports and shared record flow, which cuts down the hunt.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

One practical starting point is the path set behind reports, exports, and shared folders across sites.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{file security risk|clinic workflow drag|site workflow risk|record drift risk},{quiet reporting drag|cross site drag|shared file drift|ops review gap},{record rework risk|site audit drag|workflow review gap|clinic path drift},{multi site drift|record flow drag|site control gap|path review gap},"Saw Affinity Health Center recent facility expansion to Rock Hill location; for ops, that usually means more cross-site cleanup when a record path drifts.",The pain point around multi-site record oversight and ephi integrity visibility usually turns into staff time spent tracing what changed where.,"Running primary care, dental, behavioral health, and pharmacy across multiple sites usually creates more handoffs and more report paths to keep straight.","With recent facility expansion to rock hill location already in the mix, a small path issue can turn into a clinic-by-clinic chase fast."
Charlotte Goodwin,Charlotte,Goodwin,Affinity Health Center,HR & Talent Acquisition Coordinator,"Multi-site FQHC operations with HIPAA-regulated ePHI across dispersed locations (Rock Hill, Clover, York); recent expansion to new facility increases IT infrastructure complexity; sensitive patient data (HIV status, mental health records, hepatitis C treatment data) requires robust integrity monitoring and compliance controls; likely operational bottlenecks in maintaining consistent security policies across sites...","{{first_name}},

{{personalization_line}}

Reaching out because quiet record drift can sit in the background until it starts pulling time from leadership, patient trust, and board-level review.

We watch the file paths that matter and send a signal when something changes, so the team can review it before it becomes a larger leadership issue.

If useful, I can send a short outline.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

The gap tends to stay hidden until someone has to explain what changed, how it moved, and why the team saw it late.

We keep a tighter watch on those paths, which gives the team cleaner footing during review.

If useful, I can share a simple example.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

A practical first pass is the path set behind record exports, shared folders, and reporting files.

If useful, I can sketch the first path set I would review.

Arik Liberman
Founder, Alertica","{{first_name}},

{{personalization_line}}

If this sits with another owner on your side, I can route a tighter note there. If it stays with you, I can send the short version.

Arik Liberman
Founder, Alertica",{compliance risk|quiet control gap|record trust gap|audit readiness gap},{board review risk|patient trust gap|record change risk|control evidence gap},{quiet audit gap|record oversight gap|leadership review gap|care continuity risk},{file security risk|record drift risk|audit trail gap|control trail gap},"Saw signals like Affinity Health Center is a Federally Qualified Community Health Center serving York County, South Carolina with three locations in Rock... at Affinity Health Center; that usually raises the odds of quiet record drift landing on leadership late.",The pain point around multi-site record oversight and ephi integrity visibility is usually where patient trust and oversight time start getting pulled in.,"Running primary care, dental, behavioral health, and pharmacy across multiple sites usually leaves more record paths that leadership only hears about when something drifts.","Between affinity health center is a federally qualified community health center serving york county, south carolina with three locations in rock... and multi-site record oversight and ephi integrity visibility, I can see why trail visibility would matter at this stage."
